name,year,release
 Slumdog Millionaire,2008,January
 Million Dollar Baby,2004,January
 A Beautiful Mind,2001,January
 Driving Miss Daisy,1989,January
 Lawrence of Arabia,1962,January
 All About Eve,1950,January
 All the King's Men,1949,January
 Casablanca,1943,January
 Gone With the Wind,1939,January
 Wings,1927,January
 Chicago,2002,February
 The Silence of the Lambs,1991,February
 Platoon,1986,February
 Ordinary People,1980,February
 The Deer Hunter,1978,February
 Gentleman's Agreement,1947,February
 It Happened One Night,1934,February
 Cimarron,1930,February
 The Godfather,1972,March
 The Sound of Music,1965,March
 Annie Hall,1977,April
 Patton,1970,April
 How Green Was My Valley,1941,April
 Rebecca,1940,April
 The Great Ziegfeld,1936,April
 Cavalcade,1933,April
 Crash,2005,May
 Gladiator,2000,May
 Braveheart,1995,May
 Chariots of Fire,1981,May
 A Man for All Seasons,1966,May
 The Greatest Show on Earth,1952,May
 Midnight Cowboy,1969,June
 Marty,1955,June
 On the Waterfront,1954,June
 The Best Years of Our Lives,1946,June
 The Broadway Melody,1928,June
 The Hurt Locker,2009,July
 Forrest Gump,1994,July
 Unforgiven,1992,August
 Gigi,1958,August
 Hamlet,1948,August
 All Quiet on the Western Front,1929,August
 Oliver!,1968,September
 The Apartment,1960,September
 Grand Hotel,1931,September
 Argo,2012,October
 The Artist,2011,October
 The Departed,2006,October
 American Beauty,1999,October
 The Last Emperor,1987,October
 Amadeus,1984,October
 The French Connection,1971,October
 In the Heat of the Night,1967,October
 The Bridge on the River Kwai,1957,October
 Around the World in 80 Days,1956,October
 From Here to Eternity,1953,October
 Going My Way,1944,October
 The Life of Emile Zola,1937,October
 Birdman,2014,November
 12 Years a Slave,2013,November
 No Country for Old Men,2007,November
 The English Patient,1996,November
 Dances with Wolves,1990,November
 One Flew Over the Cuckoo's Nest,1975,November
 An American in Paris,1951,November
 The Lost Weekend,1945,November
 You Can't Take it With You,1938,November
 Mutiny on the Bounty,1935,November
 The King's Speech,2010,December
 The Lord of the Rings: The Return of the King,2003,December
 Shakespeare in Love,1998,December
 Titanic,1997,December
 Schindler's List,1993,December
 Rain Man,1988,December
 Out of Africa,1985,December
 Terms of Endearment,1983,December
 Gandhi,1982,December
 Kramer vs. Kramer,1979,December
 Rocky,1976,December
 The Godfather: Part II,1974,December
 The Sting,1973,December
 My Fair Lady,1964,December
 Tom Jones,1963,December
 West Side Story,1961,December
 Ben-Hur,1959,December
 Mrs. Miniver,1942,December